ang,HWP0
0,1.31309882
1,1.26937509
2,1.2204928800000001
3,1.16970437
4,1.1193410000000001
5,1.0691533100000001
6,1.01362576
7,0.961363141
8,0.9042639870000001
9,0.84914075
10,0.795086671
11,0.737712311
12,0.684701605
13,0.625768153
14,0.569589785
15,0.5178998690000001
16,0.46787268400000004
17,0.418224663
18,0.367582776
19,0.321717904
20,0.281157758
21,0.24145562199999998
22,0.20309290300000002
23,0.166090656
24,0.13239431399999999
25,0.10543741499999999
26,0.0811681239
27,0.0581463464
28,0.0384895029
29,0.0231523391
30,0.0122309812
31,0.0055070349800000005
32,0.00235156585
33,0.00318923094
34,0.00832142177
35,0.0168626284
36,0.0292940676
37,0.04551655
38,0.0661189843
39,0.09037238489999999
40,0.117485222
41,0.145987127
42,0.179179071
43,0.21584219899999998
44,0.258006563
45,0.29976849299999997
46,0.345645443
47,0.388328102
48,0.437060196
49,0.48951560200000005
50,0.54294779
51,0.59800694
52,0.649297319
53,0.703931961
54,0.762003416
55,0.821845548
56,0.875272905
57,0.931187649
58,0.9848964400000001
59,1.0430097999999999
60,1.0959598
61,1.1451280400000001
62,1.19548757
63,1.24305289
64,1.2897554599999999
65,1.33434206
66,1.37311232
67,1.4106276199999999
68,1.44510204
69,1.47776748
70,1.50704174
71,1.53382972
72,1.5542506
73,1.57304842
74,1.58770604
75,1.59843755
76,1.6059625199999998
77,1.6091136499999998
78,1.6069230600000002
79,1.60198868
80,1.59259944
81,1.57986965
82,1.56278361
83,1.54355448
84,1.52007455
85,1.4914592
86,1.46011263
87,1.4270772200000001
88,1.3912614700000001
89,1.3517733900000002
90,1.30609516
91,1.2622549
92,1.2154837600000001
93,1.16800482
94,1.11804006
95,1.06210727
96,1.00742537
97,0.954225892
98,0.900044164
99,0.8445570710000001
100,0.786684453
101,0.7292813969999999
102,0.675103045
103,0.6211687
104,0.569423428
105,0.516517437
106,0.45892488600000003
107,0.410742359
108,0.363070372
109,0.319391635
110,0.274691905
111,0.231834711
112,0.194230539
113,0.16011125999999998
114,0.12950241199999998
115,0.100673009
116,0.0744127101
117,0.0537701417
118,0.0364346961
119,0.0226160519
120,0.011915170899999999
121,0.00510790369
122,0.0026856519099999997
123,0.00401320449
124,0.009073138239999999
125,0.017882572099999997
126,0.0316269652
127,0.0492758772
128,0.0694610862
129,0.0925157656
130,0.120665674
131,0.15305148600000001
132,0.186940073
133,0.223360476
134,0.262364716
135,0.304006011
136,0.351378112
137,0.40019743
138,0.44761147
139,0.49686967399999993
140,0.550915429
141,0.604895293
142,0.6625570820000001
143,0.717072515
144,0.77146641
145,0.8253167619999999
146,0.8830454900000001
147,0.942974119
148,0.996400369
149,1.04827888
150,1.10064319
151,1.15304475
152,1.2051344400000001
153,1.25178462
154,1.29486714
155,1.3366849200000002
156,1.37770444
157,1.41776237
158,1.45273248
159,1.48315635
160,1.5107152300000002
161,1.5355179799999998
162,1.5586777600000001
163,1.57646998
164,1.59092352
165,1.59942079
166,1.6053676399999999
167,1.60853472
168,1.6073504200000002
169,1.60005747
170,1.59003737
171,1.5785947900000001
172,1.56013609
173,1.5391312799999999
174,1.5152135199999999
175,1.48899108
176,1.46018644
177,1.42254413
178,1.38302799
179,1.34226994
180,1.3003994200000002
181,1.25667383
182,1.2075228199999999
183,1.15502765
184,1.10488734
185,1.05529523
186,1.00268773
187,0.945284788
188,0.888919807
189,0.8325710080000001
190,0.780605071
191,0.726747385
192,0.669253175
193,0.6105294450000001
194,0.557141495
195,0.5077004900000001
196,0.456274662
197,0.406097126
198,0.35648889
199,0.310669071
200,0.26810288499999996
201,0.22991065600000002
202,0.192039704
203,0.155063826
204,0.12392477900000001
205,0.096685013
206,0.0731881591
207,0.0520270187
208,0.0336289304
209,0.0197517293
210,0.00980512959
211,0.0042186757100000005
212,0.00215457817
213,0.0041657403899999996
214,0.0101944288
215,0.0202051615
216,0.033901626
217,0.0512461047
218,0.0724942875
219,0.0974007198
220,0.124366867
221,0.155424248
222,0.188368111
223,0.226467324
224,0.268392469
225,0.311364274
226,0.354794785
227,0.400305464
228,0.45183650200000003
229,0.504640804
230,0.561972905
231,0.612741511
232,0.667002518
233,0.723306672
234,0.7817777810000001
235,0.836984662
236,0.88880508
237,0.942238723
238,0.9991226249999999
239,1.05435064
240,1.1068926
241,1.15703617
242,1.20283919
243,1.2511838
244,1.2987590199999999
245,1.3434890400000001
246,1.38103589
247,1.41831767
248,1.45269569
249,1.4855644
250,1.5150964
251,1.53887703
252,1.55904412
253,1.57721504
254,1.5910815
255,1.60175143
256,1.60766323
257,1.60990236
258,1.60790968
259,1.60216808
260,1.59341726
261,1.5782655700000001
262,1.56234857
263,1.5419451499999999
264,1.51760352
265,1.48869422
266,1.45741855
267,1.42153096
268,1.38549088
269,1.3460292200000001
270,1.30230037
271,1.25626812
272,1.2095524
273,1.16339664
274,1.1119868099999999
275,1.05511781
276,1.0029020499999999
277,0.950641581
278,0.8964333680000001
279,0.840405293
280,0.782385818
281,0.723991601
282,0.669704052
283,0.617209123
284,0.563991256
285,0.5092529459999999
286,0.45537040599999995
287,0.407227199
288,0.36168927900000003
289,0.315231533
290,0.271556288
291,0.231104219
292,0.193489192
293,0.158769137
294,0.127152176
295,0.0985656152
296,0.0738338204
297,0.052357281699999994
298,0.036022182
299,0.0224384439
300,0.0118531143
301,0.0050809053400000005
302,0.0026866519
303,0.00401253601
304,0.008814771720000001
305,0.0176484664
306,0.0314074714
307,0.0489898739
308,0.068814712
309,0.0915903292
310,0.119068587
311,0.15213617000000002
312,0.186925143
313,0.223339492
314,0.2621116
315,0.30588315
316,0.352503295
317,0.40042412
318,0.44878741
319,0.4991155
320,0.553080637
