ang,QWP0
0,0.00508158837
1,0.0051106349
2,0.00515452894
3,0.00521181346
4,0.00528218288
5,0.0053596159
6,0.0054482316
7,0.0055444084
8,0.005662096100000001
9,0.00578492336
10,0.0059182125399999995
11,0.00605205059
12,0.00618894228
13,0.006342019789999999
14,0.0065124731900000005
15,0.00668111534
16,0.006838014999999999
17,0.0070064088500000005
18,0.00718121373
19,0.0073716241799999995
20,0.0075574475899999995
21,0.0077371642000000004
22,0.007904840460000001
23,0.00807760262
24,0.00826155338
25,0.00844810438
26,0.00861735589
27,0.0087758217
28,0.00893857123
29,0.0090925887
30,0.009242811759999999
31,0.00937458753
32,0.00950060712
33,0.00961277146
34,0.00973661645
35,0.00984186408
36,0.009925566700000001
37,0.00999725216
38,0.0100638181
39,0.0101291735
40,0.0101675896
41,0.0101992719
42,0.0102189297
43,0.0102355179
44,0.010229505299999999
45,0.0102073791
46,0.0101682117
47,0.0101290889
48,0.0100682619
49,0.0100033394
50,0.009913535
51,0.00983065547
52,0.00972842281
53,0.00962496051
54,0.009504663469999999
55,0.00936985907
56,0.009228795529999998
57,0.00908978473
58,0.00894368532
59,0.00878968876
60,0.00861230455
61,0.00843925682
62,0.008270651050000001
63,0.00810039364
64,0.007924934829999999
65,0.0077361201
66,0.00755414794
67,0.00737588289
68,0.0071970985099999996
69,0.00702097213
70,0.0068487033800000005
71,0.00667469567
72,0.00652054041
73,0.00636625919
74,0.00621732852
75,0.0060687821099999996
76,0.00593087498
77,0.00580577398
78,0.00569378653
79,0.005585259259999999
80,0.00548441585
81,0.00539331677
82,0.0053113653799999995
83,0.00525007363
84,0.00519316973
85,0.005151970529999999
86,0.00512004544
87,0.0051033630399999995
88,0.00509770234
89,0.00510342352
90,0.00512399401
91,0.00515735837
92,0.00520610547
93,0.00525983933
94,0.005325379789999999
95,0.00540287601
96,0.00550013056
97,0.00560454828
98,0.00570907832
99,0.00582449729
100,0.00595416122
101,0.00610222241
102,0.0062553263
103,0.00640373491
104,0.006558949739999999
105,0.00671850648
106,0.00689278295
107,0.00707550225
108,0.00724754409
109,0.007419215759999999
110,0.007593112060000001
111,0.00778386129
112,0.007971646479999999
113,0.00815133535
114,0.00831533998
115,0.0084811918
116,0.008653649270000001
117,0.008826678820000001
118,0.0089874402
119,0.00913382428
120,0.00927993551
121,0.009418121409999999
122,0.00955689848
123,0.00967528285
124,0.00978181015
125,0.00988192005
126,0.00997509233
127,0.0100542129
128,0.0101184578
129,0.0101630603
130,0.010200327799999999
131,0.010235552500000002
132,0.010248033500000002
133,0.0102504537
134,0.0102463055
135,0.010226999600000002
136,0.0101920859
137,0.010142011000000001
138,0.01008856
139,0.010019230099999998
140,0.00993501271
141,0.00985131828
142,0.00974181421
143,0.00961948535
144,0.009504266019999999
145,0.00936725519
146,0.00923536209
147,0.00908355196
148,0.00891777654
149,0.00875786009
150,0.00860072305
151,0.008435989909999999
152,0.00825004463
153,0.00807447668
154,0.00788095531
155,0.007705773900000001
156,0.0075331458900000006
157,0.00734491459
158,0.00715586111
159,0.0069781604
160,0.00681498068
161,0.00664582694
162,0.00647306115
163,0.006307845980000001
164,0.00615069621
165,0.00601122292
166,0.00587833074
167,0.00574239493
168,0.00561760726
169,0.00549967126
170,0.0054052216
171,0.00531908699
172,0.00523728477
173,0.00516566206
174,0.00510754353
175,0.00506471906
176,0.00503129831
177,0.00501309069
178,0.00500760098
